CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
503172426,01/01/2016,00:01:00,12/31/2017,23:59:00,03/05/2018,233,SEX CRIMES,170,"SEXUAL MISCONDUCT,INTERCOURSE",ATTEMPTED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,33,INSIDE,RESIDENCE - PUBLIC HOUSING,,,1001936,245282,40.839908201,-73.936083587,"(40.839908201, -73.936083587)"
295322737,01/01/2016,12:00:00,02/16/2018,12:00:00,02/28/2018,109,GRAND LARCENY,407,"LARCENY,GRAND BY DISHONEST EMP",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,20,INSIDE,OTHER,,,989731,222727,40.778016975,-73.980211324,"(40.778016975, -73.980211324)"
357999727,01/01/2016,08:00:00,03/18/2017,17:00:00,02/21/2018,109,GRAND LARCENY,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,RESIDENCE - APT. HOUSE,,,1001606,251324,40.856492363,-73.93726058,"(40.856492363, -73.93726058)"
333467273,01/01/2016,00:00:00,02/15/2018,19:30:00,02/16/2018,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,32,INSIDE,RESIDENCE - APT. HOUSE,,,1001374,238163,40.820369696,-73.938132846,"(40.820369696, -73.938132846)"
346187656,01/01/2016,10:00:00,02/11/2018,16:00:00,02/11/2018,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,24,INSIDE,RESIDENCE - APT. HOUSE,,,993373,229301,40.79605784,-73.967052307,"(40.79605784, -73.967052307)"
147658573,01/01/2016,12:00:00,01/24/2018,17:00:00,01/24/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,RESIDENCE - APT. HOUSE,,,988085,217902,40.764774473,-73.986157253,"(40.764774473, -73.986157253)"
142017490,01/04/2016,12:00:00,01/04/2016,23:00:00,01/11/2018,109,GRAND LARCENY,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,RESIDENCE - APT. HOUSE,,,1005250,254388,40.864894204,-73.92407815,"(40.864894204, -73.92407815)"
892822562,01/18/2016,07:44:00,01/18/2018,07:47:00,01/18/2018,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,28,INSIDE,DRUG STORE,,,998151,234236,40.809596838,-73.949785598,"(40.809596838, -73.949785598)"
776618477,01/25/2016,12:00:00,03/25/2018,01:00:00,03/30/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,6,INSIDE,,,,984037,205508,40.730756883,-74.000769976,"(40.730756883, -74.000769976)"
471926277,01/28/2016,10:00:00,01/28/2018,11:00:00,01/29/2018,365,ADMINISTRATIVE CODE,878,"ADM.CODE,UNCLASSIFIED MISDEMEA",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,28,FRONT OF,RESIDENCE - APT. HOUSE,,,996600,231435,40.801911169,-73.955393569,"(40.801911169, -73.955393569)"
278766862,01/28/2016,12:58:00,01/28/2018,13:12:00,01/28/2018,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,RESIDENCE - APT. HOUSE,,,997293,221326,40.774163675,-73.952910098,"(40.774163675, -73.952910098)"
748779345,02/01/2016,08:00:00,01/29/2018,18:00:00,01/30/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,COMMERCIAL BUILDING,,,989736,216243,40.760220074,-73.980198562,"(40.760220074, -73.980198562)"
688083062,02/09/2016,12:00:00,02/13/2016,20:00:00,03/22/2018,104,RAPE,157,RAPE 1,COMPLETED,FELONY,N.Y. HOUSING POLICE,MANHATTAN,32,INSIDE,RESIDENCE - PUBLIC HOUSING,,,999358,236472,40.815732053,-73.945420411,"(40.815732053, -73.945420411)"
395279506,02/14/2016,10:00:00,02/15/2016,12:00:00,02/16/2018,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. TRANSIT POLICE,MANHATTAN,7,,TRANSIT - NYC SUBWAY,,,987206,199455,40.714142367,-73.989338511,"(40.714142367, -73.989338511)"
814635307,02/16/2016,12:30:00,02/23/2016,23:00:00,02/10/2018,341,PETIT LARCENY,347,PETIT LARCENY-CHECK FROM MAILB,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,34,,STREET,,,1004811,253066,40.861266748,-73.925669364,"(40.861266748, -73.925669364)"
721263324,02/28/2016,07:09:00,02/28/2018,07:09:00,02/28/2018,109,GRAND LARCENY,403,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,33,INSIDE,MAILBOX INSIDE,,,1001540,244426,40.837559515,-73.937516953,"(40.837559515, -73.937516953)"
448444127,02/29/2016,15:39:00,01/31/2018,12:00:00,01/31/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,GYM/FITNESS FACILITY,,,986636,219002,40.767794199,-73.991387694,"(40.767794199, -73.991387694)"
686143943,03/01/2016,14:00:00,01/21/2018,20:30:00,01/21/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,30,INSIDE,RESIDENCE - APT. HOUSE,,,998060,240479,40.826732261,-73.950101481,"(40.826732261, -73.950101481)"
